state,state_fips,year,employment_rate,dis_type_hearing_18_64_prevalence,dis_type_vision_18_64_prevalence,dis_type_cognitive_18_64_prevalence,dis_type_ambulatory_18_64_prevalence,dis_type_self_care_18_64_prevalence,dis_type_indep_living_18_64_prevalence
Delaware,10,2019,0.04613591438652671,0.02083204756774295,0.01844801774621015,0.059341535195298244,0.04984244595817015,0.019826946237658856,0.0401123597486894
District of Columbia,11,2019,0.02922244363047055,0.011530224982016321,0.016571856163647338,0.04329725573203906,0.039421463003232925,0.012631983661724945,0.03609551606955343
Florida,12,2019,0.03646931861876276,0.018527460330139148,0.019217965413499086,0.04388976961069218,0.04887602227494559,0.017912114438344555,0.037840733995070035
Georgia,13,2019,0.0382030416537514,0.018725888912540938,0.021353911862499426,0.046749990352452905,0.052119628339140536,0.017292605746452503,0.037570193685400335
Hawaii,15,2019,0.030295769941299976,0.01783194517127671,0.013467588885456138,0.03294641337175211,0.0359047432898495,0.01385471901540324,0.029580777160583344
Idaho,16,2019,0.052698399786173314,0.02647073634627527,0.021442710330695364,0.05429435257386124,0.050271544394215835,0.01597211731027724,0.03721533354251161
Illinois,17,2019,0.03550257030360534,0.016605686762618085,0.01710646781994439,0.0393931739409858,0.04187330057336443,0.015500953874868145,0.03450230756896654
Indiana,18,2019,0.045724072056475086,0.02269425747105851,0.020699073175827948,0.053018521558736174,0.05474008626479411,0.020620967220373217,0.043118964822470636
Iowa,19,2019,0.04298966861189811,0.01863530646129667,0.01367735818327531,0.045947022409130706,0.03847301213095562,0.015366737133602839,0.03331188687449844
Kansas,20,2019,0.05375176816969704,0.029164242662280328,0.022200828640362404,0.05345350488886001,0.04965995032882788,0.017106728051809218,0.039674331934547453
Kentucky,21,2019,0.05439304058453302,0.033195730545708846,0.03530121898285466,0.07424634968289566,0.08211970086088403,0.02792711121560684,0.05997213279799368
Louisiana,22,2019,0.048200397041724505,0.024264473985571564,0.03486810765640744,0.05893867073708828,0.062198935026675554,0.023488830366008663,0.04805039049265809
Maine,23,2019,0.05287655837406945,0.027687713522733488,0.015241855677280435,0.06917887921388824,0.05460463173389162,0.01967890159181664,0.05336762958063762
Maryland,24,2019,0.0373185738411399,0.014519529920431845,0.014086456014589126,0.039681042291719454,0.03895082477063123,0.013481566221431531,0.030514447215005833
Massachusetts,25,2019,0.03587238402899558,0.013319243387437065,0.011835277736639812,0.043631312159660214,0.03506269656835538,0.014756380960026353,0.0320435542649768
Michigan,26,2019,0.044747045134377564,0.02186265305080028,0.019528342901010107,0.05770487897442092,0.05599615728957808,0.02193752401070089,0.04714923828781096
Minnesota,27,2019,0.04212477883731278,0.017183116213246273,0.011757179598856032,0.0445146342125546,0.03135847889644688,0.015019882510826496,0.033713219715613404
Mississippi,28,2019,0.046149748282486316,0.02486906768814241,0.0343687229170174,0.06085902204920887,0.07729042181997643,0.025164832884016226,0.05694546620205202
Missouri,29,2019,0.04740516611954945,0.02478428598930994,0.023084408081966504,0.057636106596556345,0.061356448588195216,0.02267981951328739,0.049123772428982866
Montana,30,2019,0.048533388807988354,0.027448752620377333,0.01699604743083004,0.04814293258229185,0.04621145444944072,0.015888687971067832,0.03964890944295978
Nebraska,31,2019,0.05094535257360982,0.024163093130930867,0.015026116399717718,0.04506506742272441,0.04228386343854566,0.013353498021458039,0.02992384229395759
Nevada,32,2019,0.038509512457647437,0.020307185768464426,0.017239414144868067,0.038433705272416616,0.04511817856301835,0.015034554097835355,0.03247827129509855
New Hampshire,33,2019,0.04754362865511309,0.02028306535007996,0.016482661920812464,0.05220479199885074,0.03845162944819947,0.01269413104208938,0.03733917146218771
New Jersey,34,2019,0.03051544126784985,0.011704117079637115,0.014888499458512595,0.03415161795252664,0.033030176826706274,0.013242769811633399,0.028682188319258606
New Mexico,35,2019,0.04842398534545968,0.03115656885151391,0.030422522200787328,0.061185675038372495,0.0666621579157034,0.025459871978965026,0.04812541805606302
New York,36,2019,0.031481595685103204,0.014226925436023255,0.015622833217771614,0.039590861512614005,0.04336056256333671,0.01714224758653795,0.03445008733799136
North Carolina,37,2019,0.03871944645371672,0.019126414068494472,0.01970992584750149,0.048743618238055605,0.05429685397331071,0.01931529097076039,0.03982451966183072
North Dakota,38,2019,0.05176085572897511,0.024806802490370407,0.018098570922040483,0.03792815629342677,0.033849481026011465,0.012947371434737892,0.029539563370324776
Ohio,39,2019,0.04659612108833797,0.02119179340591043,0.01970387729046329,0.05514873350663422,0.054242583840723106,0.0185182501785112,0.0428520128186606
Oklahoma,40,2019,0.055779085412985145,0.03341409903731792,0.0315571818581664,0.05725429572045871,0.06588607611408524,0.0210433263324823,0.04701761143454985
Oregon,41,2019,0.05201061415557179,0.02452577234490607,0.018926073728713105,0.060595984131188024,0.04774531347006446,0.01669660031711022,0.04362162874788408
Pennsylvania,42,2019,0.04398513070557865,0.02040591716764303,0.019461343842576508,0.05519519898249804,0.05077065302721063,0.01971579766573541,0.043213152534034995
Rhode Island,44,2019,0.04000291040500105,0.02044407929640959,0.014253405325434818,0.05435029755859464,0.045044580734937896,0.0177686288657606,0.04685600468090138
