state,state_fips,year,employment_rate,edu_bachelors_share,edu_some_college_share,edu_hs_grad_share,edu_less_than_hs_share
Indiana,18,2014,0.2460254610465186,0.12200000000000001,0.259,0.4089999999999999,0.21100000000000002
Iowa,19,2014,0.2953236755970421,0.138,0.305,0.40900000000000003,0.149
Kansas,20,2014,0.2754498597361922,0.168,0.324,0.34900000000000003,0.159
Kentucky,21,2014,0.19600144208445733,0.095,0.23299999999999998,0.377,0.29500000000000004
Louisiana,22,2014,0.2244733724763082,0.125,0.223,0.366,0.287
Maine,23,2014,0.23000146852544853,0.135,0.276,0.41,0.17900000000000002
Maryland,24,2014,0.2541104576825721,0.21200000000000002,0.247,0.338,0.203
Massachusetts,25,2014,0.23107314586159083,0.19800000000000004,0.227,0.337,0.23700000000000002
Michigan,26,2014,0.19970515807139225,0.131,0.29600000000000004,0.36700000000000005,0.20500000000000002
Minnesota,27,2014,0.27983964029233716,0.17800000000000002,0.305,0.35200000000000004,0.165
Mississippi,28,2014,0.19128829810320677,0.113,0.26799999999999996,0.32399999999999995,0.295
Missouri,29,2014,0.22692635330634145,0.131,0.268,0.38699999999999996,0.215
Montana,30,2014,0.27796757956482104,0.162,0.302,0.391,0.146
Nebraska,31,2014,0.2984402079722704,0.151,0.301,0.384,0.16399999999999998
Nevada,32,2014,0.2639376739896503,0.152,0.34400000000000003,0.309,0.195
New Hampshire,33,2014,0.2639153678989961,0.203,0.26999999999999996,0.34600000000000003,0.18100000000000002
New Jersey,34,2014,0.23643395224364105,0.192,0.217,0.37,0.22099999999999997
New Mexico,35,2014,0.2095704254869562,0.166,0.273,0.312,0.25
New York,36,2014,0.21164574185169152,0.175,0.225,0.33399999999999996,0.266
North Carolina,37,2014,0.21199770749519936,0.142,0.284,0.324,0.251
North Dakota,38,2014,0.32962497757042886,0.15000000000000002,0.317,0.36200000000000004,0.171
Ohio,39,2014,0.23043958396335723,0.122,0.252,0.41,0.217
Oklahoma,40,2014,0.2566138078251734,0.138,0.309,0.363,0.19
Oregon,41,2014,0.2335829235982418,0.16699999999999998,0.35100000000000003,0.314,0.16699999999999998
Pennsylvania,42,2014,0.22534072591403148,0.134,0.21100000000000002,0.446,0.20800000000000002
Rhode Island,44,2014,0.2275455597338733,0.147,0.227,0.34800000000000003,0.278
South Carolina,45,2014,0.19757819680595745,0.132,0.262,0.343,0.263
South Dakota,46,2014,0.3289273856530892,0.156,0.28600000000000003,0.392,0.166
Tennessee,47,2014,0.20819644019992448,0.11599999999999999,0.23199999999999998,0.37799999999999995,0.27399999999999997
Texas,48,2014,0.2545319321074011,0.152,0.27899999999999997,0.3,0.26899999999999996
Utah,49,2014,0.29679976558540294,0.203,0.385,0.292,0.11900000000000001
Vermont,50,2014,0.25541822765309335,0.191,0.262,0.35700000000000004,0.191
Virginia,51,2014,0.24749308130482187,0.181,0.265,0.318,0.23600000000000002
Washington,53,2014,0.24971469413101807,0.178,0.354,0.302,0.16600000000000004
West Virginia,54,2014,0.1831416487780473,0.086,0.21100000000000005,0.4220000000000001,0.281
Wisconsin,55,2014,0.258618334963729,0.145,0.285,0.396,0.174
Wyoming,56,2014,0.3187908398777052,0.178,0.361,0.34600000000000003,0.115
Puerto Rico,72,2014,0.135420815719933,0.134,0.16699999999999998,0.278,0.42100000000000004
Alabama,1,2015,0.19284540294514943,0.13,0.269,0.35000000000000003,0.251
Alaska,2,2015,0.30866366819212965,0.176,0.358,0.305,0.161
Arizona,4,2015,0.20984783148190464,0.175,0.337,0.298,0.191
